<DATE>;<TIME>;<CLOSE>;<SMA10>;<SMA20>;<SMA30>
20170124;210000;55.6200000;55.565;55.375;55.362
20170124;220000;55.4900000;55.556999999999995;55.40200000000001;55.362333333333346
20170124;230000;55.3600000;55.521;55.4295;55.35766666666667
20170125;000000;55.3400000;55.50600000000001;55.44699999999999;55.352666666666664
20170125;110000;55.1900000;55.501999999999995;55.4575;55.342666666666666
20170125;120000;55.0700000;55.471000000000004;55.45250000000001;55.32966666666667
20170125;130000;55.1300000;55.42;55.44750000000001;55.31700000000001
20170125;140000;54.8400000;55.335;55.415000000000006;55.30066666666666
20170125;150000;54.9300000;55.269999999999996;55.396;55.292
20170125;160000;54.9100000;55.188;55.373000000000005;55.294333333333334
20170125;170000;55.0400000;55.129999999999995;55.347500000000004;55.29333333333333
20170125;180000;55.0100000;55.08200000000001;55.319500000000005;55.29533333333334
20170125;190000;55.5900000;55.105;55.313;55.32133333333333
20170125;200000;55.4700000;55.117999999999995;55.312;55.337333333333326
20170125;210000;55.3300000;55.132000000000005;55.31699999999999;55.349000000000004
20170125;220000;55.2000000;55.145;55.30800000000001;55.35000000000001
20170125;230000;55.1800000;55.15;55.285000000000004;55.34833333333334
20170126;000000;55.2500000;55.19100000000001;55.263;55.34033333333334
20170126;110000;55.4600000;55.24399999999999;55.25699999999999;55.345333333333336
20170126;120000;55.4900000;55.302;55.245000000000005;55.349333333333334
20170126;130000;55.4400000;55.342;55.236000000000004;55.34566666666667
20170126;140000;55.3800000;55.379;55.23050000000002;55.33933333333334
20170126;150000;55.3900000;55.359;55.23200000000001;55.32833333333335
20170126;160000;55.5100000;55.363;55.2405;55.329000000000015
20170126;170000;55.5500000;55.38499999999999;55.258500000000005;55.33966666666667
20170126;180000;56.2100000;55.486000000000004;55.3155;55.36733333333335
20170126;190000;56.3800000;55.60600000000001;55.37800000000001;55.39200000000002
20170126;200000;56.4400000;55.725;55.45800000000001;55.417000000000016
20170126;210000;56.3200000;55.811;55.52749999999999;55.44166666666668
20170126;220000;56.2000000;55.88199999999999;55.592;55.45733333333335
20170126;230000;56.2200000;55.959999999999994;55.650999999999996;55.47733333333335
20170127;000000;56.2700000;56.049;55.714;55.50333333333335
20170127;110000;56.4100000;56.150999999999996;55.75500000000002;55.53833333333335
20170127;120000;56.1200000;56.21199999999999;55.7875;55.56433333333334
20170127;130000;55.9000000;56.24699999999999;55.815999999999995;55.58800000000001
20170127;140000;55.6300000;56.188999999999986;55.83750000000001;55.606666666666676
20170127;150000;55.7400000;56.125;55.86550000000001;55.62700000000002
20170127;160000;55.6900000;56.05;55.8875;55.65533333333335
20170127;170000;55.8900000;56.00699999999999;55.909000000000006;55.687333333333335
20170127;180000;55.5800000;55.94500000000001;55.9135;55.70966666666667
20170127;190000;55.5100000;55.874;55.916999999999994;55.72533333333334
20170127;200000;55.0800000;55.754999999999995;55.902;55.72766666666667
20170127;210000;55.1000000;55.624;55.88749999999999;55.71133333333334
20170127;220000;55.2000000;55.532000000000004;55.872;55.702333333333335
20170127;230000;55.4700000;55.489;55.86800000000001;55.707
20170128;000000;55.4100000;55.467;55.82800000000001;55.71400000000001
20170130;110000;55.2300000;55.416;55.77050000000001;55.71566666666668
20170130;120000;55.2500000;55.372;55.711;55.71566666666667
20170130;130000;55.4200000;55.325;55.66600000000001;55.714333333333336
20170130;140000;55.5700000;55.324;55.6345;55.717
20170130;150000;55.5200000;55.325;55.5995;55.71966666666666
20170130;160000;55.4700000;55.364;55.5595;55.72266666666667
20170130;170000;55.3500000;55.388999999999996;55.506499999999996;55.72133333333333
20170130;180000;55.1600000;55.38499999999999;55.4585;55.70966666666667
20170130;190000;55.1400000;55.352;55.420500000000004;55.69600000000001
20170130;200000;55.3500000;55.34599999999999;55.406499999999994;55.66733333333334
20170130;210000;55.2800000;55.351;55.38349999999999;55.63066666666668
20170130;220000;55.4100000;55.367;55.3695;55.596333333333334
20170130;230000;55.2400000;55.349000000000004;55.337;55.56033333333334
20170131;000000;55.2500000;55.31699999999999;55.320499999999996;55.52866666666667
20170131;110000;55.2300000;55.288;55.30650000000001;55.49566666666667
20170131;120000;55.1100000;55.251999999999995;55.30799999999999;55.457
20170131;130000;55.2100000;55.238000000000014;55.3135;55.417
20170131;140000;55.2900000;55.251;55.318;55.38933333333333
20170131;150000;55.3400000;55.271;55.3115;55.370666666666665
20170131;160000;55.5300000;55.289;55.317499999999995;55.36733333333333
20170131;170000;55.8300000;55.34400000000001;55.347500000000004;55.37033333333332
20170131;180000;55.9900000;55.40199999999999;55.3845;55.380333333333326
20170131;190000;56.3500000;55.51299999999999;55.431;55.395666666666656
20170131;200000;56.2200000;55.61;55.463499999999996;55.41699999999999
20170131;210000;56.2100000;55.708000000000006;55.498000000000005;55.44033333333333
20170131;220000;55.7700000;55.774;55.513;55.463333333333324
20170131;230000;55.5500000;55.80800000000001;55.52300000000001;55.478333333333325
20170201;000000;55.6100000;55.839999999999996;55.545500000000004;55.49199999999998
20170201;110000;55.5900000;55.864999999999995;55.568;55.49599999999999
20170201;120000;55.6600000;55.878;55.5835;55.50433333333332
20170201;130000;55.7700000;55.872;55.608000000000004;55.52233333333333
20170201;140000;55.7500000;55.848;55.625;55.538999999999994
20170201;150000;55.9200000;55.80499999999999;55.65899999999999;55.55566666666666
20170201;160000;56.0000000;55.782999999999994;55.6965;55.57
20170201;170000;56.2000000;55.782000000000004;55.74499999999999;55.592666666666666
20170201;180000;56.0200000;55.807;55.790499999999994;55.611
20170201;190000;56.1100000;55.863;55.8355;55.63633333333334
20170201;200000;55.9400000;55.896;55.867999999999995;55.662333333333336
20170201;210000;55.9400000;55.931;55.898;55.689
20170201;220000;56.4900000;56.013999999999996;55.946000000000005;55.727000000000004
20170201;230000;56.6400000;56.101;55.986500000000014;55.77233333333334
20170202;000000;56.5000000;56.176;56.012000000000015;55.808666666666674
20170202;110000;56.6100000;56.24499999999999;56.02499999999999;55.85433333333333
20170202;120000;56.7000000;56.315;56.049;55.90266666666667
20170202;130000;57.0100000;56.396;56.08900000000001;55.961999999999996
20170202;140000;57.2700000;56.521;56.16400000000001;56.034
20170202;150000;57.2400000;56.63399999999999;56.2485;56.101666666666674
20170202;160000;57.1100000;56.751;56.3235;56.16233333333333
20170202;170000;57.0800000;56.864999999999995;56.39799999999999;56.22033333333333
20170202;180000;56.9700000;56.913;56.463499999999996;56.26833333333333
20170202;190000;56.5700000;56.906000000000006;56.503499999999995;56.293
20170202;200000;56.9000000;56.946000000000005;56.561000000000014;56.32333333333334
20170202;210000;56.6700000;56.952;56.598500000000016;56.33399999999999
20170202;220000;56.8100000;56.96299999999999;56.638999999999996;56.35366666666666
20170202;230000;56.5300000;56.914999999999985;56.6555;56.364333333333335
20170203;000000;56.6200000;56.85;56.685500000000005;56.39266666666666
20170203;110000;57.0300000;56.82899999999999;56.7315;56.44199999999999
20170203;120000;56.9000000;56.80799999999999;56.779500000000006;56.485
20170203;130000;56.7100000;56.771;56.818;56.52233333333333
20170203;140000;56.8900000;56.763;56.838;56.56333333333334
20170203;150000;56.8400000;56.789999999999985;56.848;56.599000000000004
20170203;160000;56.7900000;56.77899999999998;56.8625;56.63366666666668
20170203;170000;56.7200000;56.78399999999999;56.867999999999995;56.66033333333334
20170203;180000;56.6500000;56.767999999999994;56.8655;56.682
20170203;190000;57.1600000;56.830999999999996;56.873000000000005;56.71400000000001
20170203;200000;56.7900000;56.84799999999999;56.849000000000004;56.73966666666668
20170203;210000;56.8300000;56.827999999999996;56.8285;56.76366666666667
20170203;220000;56.6600000;56.803999999999995;56.806;56.78766666666668
20170203;230000;56.7500000;56.80799999999999;56.7895;56.81466666666667
20170204;000000;56.8000000;56.79899999999999;56.78099999999999;56.825
20170206;110000;56.9500000;56.81;56.79999999999999;56.83533333333334
20170206;120000;56.8800000;56.818999999999996;56.79899999999999;56.848000000000006
20170206;130000;56.7500000;56.822;56.803;56.85266666666667
20170206;140000;56.7900000;56.83599999999999;56.802;56.85566666666667
20170206;150000;56.8400000;56.803999999999995;56.817499999999995;56.85
20170206;160000;56.7000000;56.795;56.82149999999999;56.831
20170206;170000;56.4500000;56.75699999999999;56.7925;56.80466666666667
20170206;180000;56.5900000;56.75;56.777;56.78733333333333
20170206;190000;56.0700000;56.682;56.74499999999999;56.75366666666666
20170206;200000;55.9400000;56.596000000000004;56.697500000000005;56.71933333333333
20170206;210000;55.9900000;56.5;56.65500000000001;56.699999999999996
20170206;220000;55.7900000;56.391;56.605000000000004;56.66299999999999
20170206;230000;55.8400000;56.3;56.561;56.63533333333332
20170207;000000;55.8200000;56.20300000000001;56.519499999999994;56.60233333333333
20170207;110000;55.6200000;56.080999999999996;56.44250000000001;56.57199999999999
20170207;120000;55.7200000;55.983000000000004;56.38900000000001;56.54199999999999
20170207;130000;55.4800000;55.886;56.3215;56.49033333333332
20170207;140000;55.5600000;55.782999999999994;56.26649999999999;56.445666666666654
20170207;150000;55.6100000;55.737;56.209500000000006;56.408999999999985
20170207;160000;55.3600000;55.678999999999995;56.1375;56.35799999999998
20170207;170000;55.3000000;55.61;56.05500000000001;56.30666666666665
20170207;180000;54.9500000;55.52600000000001;55.9585;56.24533333333332
20170207;190000;55.0600000;55.448;55.874;56.18999999999998
20170207;200000;54.8600000;55.352;55.777499999999996;56.13033333333331
20170207;210000;54.8200000;55.272000000000006;55.67649999999999;56.05233333333332
20170207;220000;54.8400000;55.184000000000005;55.5835;55.987333333333325
20170207;230000;55.1100000;55.147000000000006;55.51649999999999;55.92999999999998
20170208;000000;55.1300000;55.104;55.44350000000001;55.878999999999984
20170208;110000;54.7000000;55.01300000000001;55.375000000000014;55.810666666666656
20170208;120000;54.8400000;54.961;55.31999999999999;55.74533333333332
20170208;130000;54.6800000;54.89899999999999;55.25450000000002;55.669666666666664
20170208;140000;54.7600000;54.88000000000001;55.20300000000002;55.599
20170208;150000;54.8600000;54.85999999999999;55.15400000000001;55.53599999999999
20170208;160000;54.7900000;54.852999999999994;55.1025;55.469333333333324
20170208;170000;54.7300000;54.84400000000001;55.05800000000001;55.39899999999999
20170208;180000;54.7600000;54.836;55.010000000000005;55.33433333333333
20170208;190000;55.1100000;54.836;54.991499999999995;55.28966666666666
20170208;200000;55.3100000;54.854;54.979;55.24699999999999
20170208;210000;55.2200000;54.906000000000006;54.959500000000006;55.218666666666664
20170208;220000;55.1900000;54.94100000000001;54.951;55.19366666666666
20170208;230000;55.1700000;54.989999999999995;54.944500000000005;55.16633333333334
20170209;000000;55.1700000;55.03099999999999;54.955500000000015;55.14566666666668
20170209;110000;55.5300000;55.098;54.979;55.13533333333334
20170209;120000;55.5700000;55.17600000000001;55.0145;55.126999999999995
20170209;130000;55.7200000;55.275;55.0595;55.13033333333333
20170209;140000;55.7100000;55.370000000000005;55.102999999999994;55.13
20170209;150000;55.6800000;55.427;55.1315;55.13666666666667
20170209;160000;55.5500000;55.450999999999986;55.152499999999996;55.13633333333334
20170209;170000;55.5200000;55.48100000000001;55.19349999999999;55.13333333333334
20170209;180000;55.5900000;55.520999999999994;55.230999999999995;55.141
20170209;190000;55.5500000;55.55899999999999;55.27449999999999;55.14933333333333
20170209;200000;55.4900000;55.590999999999994;55.311;55.16733333333334
20170209;210000;55.5900000;55.597;55.34749999999999;55.18499999999999
20170209;220000;55.6900000;55.608999999999995;55.392500000000005;55.212666666666664
20170209;230000;55.6900000;55.60600000000001;55.4405;55.24166666666667
20170210;000000;55.6800000;55.602999999999994;55.4865;55.269666666666666
20170210;110000;55.6700000;55.602;55.51450000000001;55.288333333333334
20170210;120000;55.6200000;55.609;55.52999999999999;55.30466666666666
20170210;130000;56.2300000;55.67999999999999;55.580499999999994;55.355666666666664
20170210;140000;56.2700000;55.748000000000005;55.63449999999999;55.40333333333333
20170210;150000;56.2000000;55.813;55.686;55.45399999999999
20170210;160000;56.6500000;55.928999999999995;55.760000000000005;55.51700000000001
20170210;170000;56.6300000;56.033;55.81500000000001;55.57600000000001
20170210;180000;56.4700000;56.111000000000004;55.86;55.63200000000002
20170210;190000;56.6200000;56.20399999999999;55.904999999999994;55.69500000000001
20170210;200000;56.7900000;56.315;55.95899999999999;55.76266666666667
20170210;210000;56.7300000;56.42099999999999;56.0115;55.81666666666668
20170210;220000;56.7100000;56.53000000000001;56.069500000000005;55.86333333333333
20170210;230000;56.6500000;56.572;56.126;55.91100000000001
20170211;000000;56.7300000;56.617999999999995;56.18300000000001;55.96233333333334
20170213;110000;56.7200000;56.67;56.241499999999995;56.01400000000001
20170213;120000;56.2800000;56.632999999999996;56.28099999999999;56.05100000000001
20170213;130000;56.2500000;56.59499999999999;56.31400000000001;56.07500000000001
20170213;140000;56.4400000;56.592000000000006;56.35150000000001;56.104000000000006
20170213;150000;56.2400000;56.553999999999995;56.379;56.12133333333334
20170213;160000;56.2900000;56.504;56.4095;56.14066666666667
20170213;170000;56.1300000;56.444;56.432500000000005;56.155666666666676
20170213;180000;55.8000000;56.352999999999994;56.441500000000005;56.16400000000001
20170213;190000;55.7000000;56.258;56.415000000000006;56.17
20170213;200000;55.5700000;56.14200000000001;56.37999999999998;56.16933333333334
20170213;210000;55.5600000;56.025999999999996;56.348;56.169666666666664
20170213;220000;55.5300000;55.951;56.291999999999994;56.171
20170213;230000;55.6200000;55.888;56.24149999999999;56.172000000000004
20170214;000000;55.6000000;55.803999999999995;56.19799999999999;56.169
20170214;110000;55.6200000;55.742000000000004;56.14799999999999;56.16666666666665
20170214;120000;55.9500000;55.708000000000006;56.105999999999995;56.17566666666666
20170214;130000;56.0400000;55.699;56.0715;56.18799999999999
20170214;140000;56.1000000;55.729000000000006;56.04100000000001;56.203999999999986
20170214;150000;56.1100000;55.77;56.013999999999996;56.19999999999998
20170214;160000;56.1400000;55.82700000000001;55.984500000000004;56.19566666666664
20170214;170000;56.2000000;55.891000000000005;55.9585;56.195666666666654
20170214;180000;56.2500000;55.96300000000001;55.95700000000001;56.18233333333332
20170214;190000;56.1300000;56.013999999999996;55.95100000000001;56.16566666666665
20170214;200000;55.8400000;56.038;55.92100000000001;56.14466666666666
20170214;210000;56.0000000;56.076;55.909000000000006;56.123999999999995
20170214;220000;56.1300000;56.093999999999994;55.90100000000001;56.102
20170214;230000;55.9200000;56.081999999999994;55.89050000000001;56.07500000000001
20170215;000000;55.9900000;56.07099999999999;55.90000000000001;56.051000000000016
20170215;110000;55.8600000;56.04600000000001;55.907999999999994;56.024666666666675
20170215;120000;55.7600000;56.008;55.917500000000004;55.99233333333334
20170215;130000;55.7400000;55.962;55.92650000000001;55.95966666666667
20170215;140000;55.7400000;55.911;55.937;55.94166666666668
20170215;150000;55.6700000;55.864999999999995;55.939499999999995;55.92233333333334
20170215;160000;55.6900000;55.85;55.944;55.89733333333334
