<DATE>;<TIME>;<CLOSE>
20170113;160000;55.8300000
20170113;170000;55.9200000
20170113;180000;55.6800000
20170113;190000;55.7100000
20170113;200000;55.6300000
20170113;210000;55.5200000
20170113;220000;55.5300000
20170113;230000;55.6100000
20170116;100000;55.3800000
20170116;110000;55.3600000
20170116;120000;55.7200000
20170116;130000;55.5900000
20170116;140000;55.2500000
20170116;150000;55.3300000
20170116;160000;55.3200000
20170116;170000;55.4100000
20170116;180000;55.3500000
20170116;190000;55.3800000
20170116;200000;55.8600000
20170116;210000;55.6900000
20170116;220000;55.6800000
20170116;230000;55.6500000
20170117;100000;55.7800000
20170117;110000;55.7800000
20170117;120000;56.5100000
20170117;130000;56.5500000
20170117;140000;56.4400000
20170117;150000;56.5400000
20170117;160000;56.6900000
20170117;170000;56.3700000
20170117;180000;55.7900000
20170117;190000;55.9200000
20170117;200000;56.0600000
20170117;210000;56.1000000
20170117;220000;55.4700000
20170117;230000;55.4300000
20170118;100000;55.7200000
20170118;110000;55.6400000
20170118;120000;55.0200000
20170118;130000;54.7700000
20170118;140000;54.8600000
20170118;150000;54.6100000
20170118;160000;54.2600000
20170118;170000;54.4100000
20170118;180000;54.3800000
20170118;190000;55.0400000
20170118;200000;54.2600000
20170118;210000;54.2700000
20170118;220000;54.0900000
20170118;230000;54.1700000
20170119;100000;54.4700000
20170119;110000;54.4100000
20170119;120000;54.1400000
20170119;130000;54.3000000
20170119;140000;54.3600000
20170119;150000;54.5100000
20170119;160000;54.4000000
20170119;170000;54.5400000
20170119;180000;54.5900000
20170119;190000;54.2400000
20170119;200000;54.1000000
20170119;210000;54.3100000
20170119;220000;54.1500000
20170119;230000;54.2300000
20170120;100000;54.4600000
20170120;110000;54.4700000
20170120;120000;54.7800000
20170120;130000;54.8000000
20170120;140000;54.7300000
20170120;150000;54.9300000
20170120;160000;55.3100000
20170120;170000;55.4100000
20170120;180000;55.7300000
20170120;190000;55.4800000
20170120;200000;55.5000000
20170120;210000;55.4900000
20170120;220000;55.4900000
20170120;230000;55.4600000
20170123;100000;55.5100000
20170123;110000;55.3300000
20170123;120000;55.1900000
20170123;130000;54.8400000
20170123;140000;55.0700000
20170123;150000;54.9500000
20170123;160000;54.8100000
20170123;170000;54.9900000
20170123;180000;54.9800000
20170123;190000;55.1700000
20170123;200000;55.2300000
20170123;210000;55.4900000
20170123;220000;55.3100000
20170123;230000;55.3700000
20170124;100000;55.5500000
20170124;110000;55.5700000
20170124;120000;55.7200000
20170124;130000;55.4900000
20170124;140000;55.2300000
20170124;150000;55.3800000
20170124;160000;55.6400000
20170124;170000;55.6900000
20170124;180000;55.5800000
20170124;190000;55.7300000
20170124;200000;55.6200000
20170124;210000;55.4900000
20170124;220000;55.3600000
20170124;230000;55.3400000
20170125;100000;55.1900000
20170125;110000;55.0700000
20170125;120000;55.1300000
20170125;130000;54.8400000
20170125;140000;54.9300000
20170125;150000;54.9100000
20170125;160000;55.0400000
20170125;170000;55.0100000
20170125;180000;55.5900000
20170125;190000;55.4700000
20170125;200000;55.3300000
20170125;210000;55.2000000
20170125;220000;55.1800000
20170125;230000;55.2500000
20170126;100000;55.4600000
20170126;110000;55.4900000
20170126;120000;55.4400000
20170126;130000;55.3800000
20170126;140000;55.3900000
20170126;150000;55.5100000
20170126;160000;55.5500000
20170126;170000;56.2100000
20170126;180000;56.3800000
20170126;190000;56.4400000
20170126;200000;56.3200000
20170126;210000;56.2000000
20170126;220000;56.2200000
20170126;230000;56.2700000
20170127;100000;56.4100000
20170127;110000;56.1200000
20170127;120000;55.9000000
20170127;130000;55.6300000
20170127;140000;55.7400000
20170127;150000;55.6900000
20170127;160000;55.8900000
20170127;170000;55.5800000
20170127;180000;55.5100000
20170127;190000;55.0800000
20170127;200000;55.1000000
20170127;210000;55.2000000
20170127;220000;55.4700000
20170127;230000;55.4100000
20170130;100000;55.2300000
20170130;110000;55.2500000
20170130;120000;55.4200000
20170130;130000;55.5700000
20170130;140000;55.5200000
20170130;150000;55.4700000
20170130;160000;55.3500000
20170130;170000;55.1600000
20170130;180000;55.1400000
20170130;190000;55.3500000
20170130;200000;55.2800000
20170130;210000;55.4100000
20170130;220000;55.2400000
20170130;230000;55.2500000
20170131;100000;55.2300000
20170131;110000;55.1100000
20170131;120000;55.2100000
20170131;130000;55.2900000
20170131;140000;55.3400000
20170131;150000;55.5300000
20170131;160000;55.8300000
20170131;170000;55.9900000
20170131;180000;56.3500000
20170131;190000;56.2200000
20170131;200000;56.2100000
20170131;210000;55.7700000
20170131;220000;55.5500000
20170131;230000;55.6100000
20170201;100000;55.5900000
20170201;110000;55.6600000
20170201;120000;55.7700000
20170201;130000;55.7500000
20170201;140000;55.9200000
20170201;150000;56.0000000
20170201;160000;56.2000000
20170201;170000;56.0200000
20170201;180000;56.1100000
20170201;190000;55.9400000
20170201;200000;55.9400000
20170201;210000;56.4900000
20170201;220000;56.6400000
20170201;230000;56.5000000
20170202;100000;56.6100000
20170202;110000;56.7000000
20170202;120000;57.0100000
20170202;130000;57.2700000
20170202;140000;57.2400000
20170202;150000;57.1100000
20170202;160000;57.0800000
20170202;170000;56.9700000
20170202;180000;56.5700000
20170202;190000;56.9000000
20170202;200000;56.6700000
20170202;210000;56.8100000
20170202;220000;56.5300000
20170202;230000;56.6200000
20170203;100000;57.0300000
20170203;110000;56.9000000
20170203;120000;56.7100000
20170203;130000;56.8900000
20170203;140000;56.8400000
20170203;150000;56.7900000
20170203;160000;56.7200000
20170203;170000;56.6500000
20170203;180000;57.1600000
20170203;190000;56.7900000
20170203;200000;56.8300000
20170203;210000;56.6600000
20170203;220000;56.7500000
20170203;230000;56.8000000
20170206;100000;56.9500000
20170206;110000;56.8800000
20170206;120000;56.7500000
20170206;130000;56.7900000
20170206;140000;56.8400000
20170206;150000;56.7000000
20170206;160000;56.4500000
20170206;170000;56.5900000
20170206;180000;56.0700000
20170206;190000;55.9400000
20170206;200000;55.9900000
20170206;210000;55.7900000
20170206;220000;55.8400000
20170206;230000;55.8200000
20170207;100000;55.6200000
20170207;110000;55.7200000
20170207;120000;55.4800000
20170207;130000;55.5600000
20170207;140000;55.6100000
20170207;150000;55.3600000
20170207;160000;55.3000000
20170207;170000;54.9500000
20170207;180000;55.0600000
20170207;190000;54.8600000
20170207;200000;54.8200000
20170207;210000;54.8400000
20170207;220000;55.1100000
20170207;230000;55.1300000
20170208;100000;54.7000000
20170208;110000;54.8400000
20170208;120000;54.6800000
20170208;130000;54.7600000
20170208;140000;54.8600000
20170208;150000;54.7900000
20170208;160000;54.7300000
20170208;170000;54.7600000
20170208;180000;55.1100000
20170208;190000;55.3100000
20170208;200000;55.2200000
20170208;210000;55.1900000
20170208;220000;55.1700000
20170208;230000;55.1700000
20170209;100000;55.5300000
20170209;110000;55.5700000
20170209;120000;55.7200000
20170209;130000;55.7100000
20170209;140000;55.6800000
20170209;150000;55.5500000
20170209;160000;55.5200000
20170209;170000;55.5900000
20170209;180000;55.5500000
20170209;190000;55.4900000
20170209;200000;55.5900000
20170209;210000;55.6900000
20170209;220000;55.6900000
20170209;230000;55.6800000
20170210;100000;55.6700000
20170210;110000;55.6200000
20170210;120000;56.2300000
20170210;130000;56.2700000
20170210;140000;56.2000000
20170210;150000;56.6500000
20170210;160000;56.6300000
20170210;170000;56.4700000
20170210;180000;56.6200000
20170210;190000;56.7900000
20170210;200000;56.7300000
20170210;210000;56.7100000
20170210;220000;56.6500000
20170210;230000;56.7300000
20170213;100000;56.7200000
20170213;110000;56.2800000
20170213;120000;56.2500000
20170213;130000;56.4400000
20170213;140000;56.2400000
20170213;150000;56.2900000
20170213;160000;56.1300000
20170213;170000;55.8000000
20170213;180000;55.7000000
20170213;190000;55.5700000
20170213;200000;55.5600000
20170213;210000;55.5300000
20170213;220000;55.6200000
20170213;230000;55.6000000
20170214;100000;55.6200000
20170214;110000;55.9500000
20170214;120000;56.0400000
20170214;130000;56.1000000
20170214;140000;56.1100000
20170214;150000;56.1400000
20170214;160000;56.2000000
20170214;170000;56.2500000
20170214;180000;56.1300000
20170214;190000;55.8400000
20170214;200000;56.0000000
20170214;210000;56.1300000
20170214;220000;55.9200000
20170214;230000;55.9900000
20170215;100000;55.8600000
20170215;110000;55.7600000
20170215;120000;55.7400000
20170215;130000;55.7400000
20170215;140000;55.6700000
20170215;150000;55.6900000
20170215;160000;55.7400000
20170215;170000;55.8600000
20170215;180000;55.7600000
20170215;190000;55.7300000
20170215;200000;55.7900000
20170215;210000;55.8200000
20170215;220000;55.7600000
20170215;230000;55.7400000
20170216;100000;55.7500000
20170216;110000;55.8500000
20170216;120000;55.8600000
20170216;130000;55.8100000
20170216;140000;56.1800000
20170216;150000;56.0400000
20170216;160000;55.9900000
20170216;170000;55.9700000
20170216;180000;55.3700000
20170216;190000;55.3300000
20170216;200000;55.8200000
20170216;210000;55.7700000
20170216;220000;55.7100000
20170216;230000;55.7300000
20170217;100000;55.7400000
20170217;110000;55.5600000
20170217;120000;55.6200000
20170217;130000;55.1600000
20170217;140000;55.3300000
20170217;150000;55.3800000
20170217;160000;55.3500000
20170217;170000;55.3900000
20170217;180000;55.3700000
20170217;190000;55.5300000
20170217;200000;55.5600000
20170217;210000;55.5800000
20170217;220000;55.7300000
20170217;230000;55.8000000
20170220;100000;55.9800000
20170220;110000;56.0700000
20170220;120000;56.4000000
20170220;130000;56.2200000
20170220;140000;56.2400000
20170220;150000;56.1400000
20170220;160000;56.2400000
20170220;170000;56.1000000
20170220;180000;56.2100000
20170220;190000;56.1100000
20170220;200000;56.1600000
20170220;210000;56.1100000
20170220;220000;56.1300000
20170220;230000;56.1800000
20170221;100000;56.4400000
20170221;110000;56.5500000
20170221;120000;56.6600000
20170221;130000;57.0400000
20170221;140000;57.0700000
20170221;150000;57.0300000
20170221;160000;57.1300000
20170221;170000;56.9900000
20170221;180000;56.6600000
20170221;190000;57.0000000
20170221;200000;56.8900000
20170221;210000;56.8400000
20170221;220000;56.6800000
20170221;230000;56.7100000
20170222;100000;56.7300000
20170222;110000;56.5800000
20170222;120000;56.2400000
20170222;130000;56.3300000
20170222;140000;56.4400000
20170222;150000;56.2900000
20170222;160000;56.0900000
20170222;170000;55.8800000
20170222;180000;55.8500000
20170222;190000;55.7400000
20170222;200000;55.9300000
20170222;210000;55.8500000
20170222;220000;55.7800000
20170222;230000;55.7800000
20170224;100000;56.3600000
20170224;110000;56.2700000
20170224;120000;56.2500000
20170224;130000;56.2800000
20170224;140000;56.1900000
20170224;150000;56.0800000
20170224;160000;55.8900000
20170224;170000;56.0700000
20170224;180000;56.1600000
